GO_ID,Description,Category,Count,Bg_Count,GeneRatio,BgRatio,RichFactor,P_value,Gene_List,FDR
GO:0043139,5'-3' DNA helicase activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v210605,0.057970383
GO:0004122,cystathionine beta-synthase activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v201368,0.057970383
GO:0016040,glutamate synthase (NADH) activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v208340,0.057970383
GO:0015930,glutamate synthase activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v208340,0.057970383
GO:0004164,diphthine synthase activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v209791,0.057970383
GO:0016639,"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",MF,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v208340,0.078526536
GO:0016638,"oxidoreductase activity, acting on the CH-NH2 group of donors",MF,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v208340,0.078526536
GO:0004930,G protein-coupled receptor activity,MF,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v204086,0.078526536
GO:0070615,ATP-dependent chromatin remodeler activity,MF,2,28,2/77,28/10045,0.071428571,0.019274196,TGAM01_v201803;TGAM01_v210155,0.078526536
GO:0015035,protein-disulfide reductase activity,MF,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v202869,0.078526536
GO:0032549,ribonucleoside binding,MF,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v206650,0.078526536
GO:0016972,thiol oxidase activity,MF,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v202869,0.078526536
GO:0004396,hexokinase activity,MF,1,4,1/77,4/10045,0.25,0.030315735,TGAM01_v208702,0.087338188
GO:0005536,D-glucose binding,MF,1,4,1/77,4/10045,0.25,0.030315735,TGAM01_v208702,0.087338188
GO:0030234,enzyme regulator activity,MF,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v200335,0.091359393
GO:0004888,transmembrane signaling receptor activity,MF,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v204086,0.091359393
GO:0004523,RNA-DNA hybrid ribonuclease activity,MF,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v208324,0.091359393
GO:0008318,protein prenyltransferase activity,MF,1,6,1/77,6/10045,0.166666667,0.045131607,TGAM01_v208197,0.103036311
GO:0016746,acyltransferase activity,MF,2,46,2/77,46/10045,0.043478261,0.048324899,TGAM01_v204668;TGAM01_v210255,0.108283569
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",MF,1,7,1/77,7/10045,0.142857143,0.052455531,TGAM01_v201166,0.113341414
GO:0004100,chitin synthase activity,MF,1,8,1/77,8/10045,0.125,0.059724003,TGAM01_v202830,0.120443406
GO:0005198,structural molecule activity,MF,1,9,1/77,9/10045,0.111111111,0.066937438,TGAM01_v208457,0.128562382
GO:0042626,ATPase-coupled transmembrane transporter activity,MF,1,10,1/77,10/10045,0.1,0.074096248,TGAM01_v202388,0.133815613
GO:0003682,chromatin binding,MF,1,10,1/77,10/10045,0.1,0.074096248,TGAM01_v208750,0.133815613
GO:0003678,DNA helicase activity,MF,1,12,1/77,12/10045,0.083333333,0.088251622,TGAM01_v210605,0.157035975
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",MF,1,14,1/77,14/10045,0.071428571,0.102193354,TGAM01_v208702,0.171741609
GO:0061630,ubiquitin protein ligase activity,MF,1,14,1/77,14/10045,0.071428571,0.102193354,TGAM01_v202514,0.171741609
GO:0016758,hexosyltransferase activity,MF,1,14,1/77,14/10045,0.071428571,0.102193354,TGAM01_v202830,0.171741609
GO:0004315,3-oxoacyl-[acyl-carrier-protein] synthase activity,MF,1,17,1/77,17/10045,0.058823529,0.122712323,TGAM01_v204668,0.200651231
GO:0016301,kinase activity,MF,1,18,1/77,18/10045,0.055555556,0.129448577,TGAM01_v205098,0.20609576
GO:0003899,DNA-directed RNA polymerase activity,MF,1,18,1/77,18/10045,0.055555556,0.129448577,TGAM01_v206650,0.20609576
GO:0051082,unfolded protein binding,MF,1,19,1/77,19/10045,0.052631579,0.136133773,TGAM01_v203210,0.211181878
GO:0008061,chitin binding,MF,1,19,1/77,19/10045,0.052631579,0.136133773,TGAM01_v200328,0.211181878
GO:0016829,lyase activity,MF,1,20,1/77,20/10045,0.05,0.142768293,TGAM01_v203339,0.218670423
GO:0030248,cellulose binding,MF,1,22,1/77,22/10045,0.045454545,0.15588682,TGAM01_v208263,0.227256689
GO:0051536,iron-sulfur cluster binding,MF,1,22,1/77,22/10045,0.045454545,0.15588682,TGAM01_v208340,0.227256689
GO:0004674,protein serine/threonine kinase activity,MF,1,24,1/77,24/10045,0.041666667,0.168807157,TGAM01_v205164,0.240301953
GO:0004842,ubiquitin-protein transferase activity,MF,1,24,1/77,24/10045,0.041666667,0.168807157,TGAM01_v202514,0.240301953
GO:0031177,phosphopantetheine binding,MF,1,27,1/77,27/10045,0.037037037,0.18782251,TGAM01_v204668,0.26122441
GO:0008237,metallopeptidase activity,MF,1,27,1/77,27/10045,0.037037037,0.18782251,TGAM01_v203971,0.26122441
GO:0030246,carbohydrate binding,MF,1,28,1/77,28/10045,0.035714286,0.19406504,TGAM01_v203339,0.26683943
GO:0016740,transferase activity,MF,1,34,1/77,34/10045,0.029411765,0.230537925,TGAM01_v204668,0.306539439
GO:0003824,catalytic activity,MF,6,545,6/77,545/10045,0.011009174,0.23883572,TGAM01_v201007;TGAM01_v202202;TGAM01_v203339;TGAM01_v207983;TGAM01_v208324;TGAM01_v208340,0.314120892
GO:0005509,calcium ion binding,MF,1,40,1/77,40/10045,0.025,0.265380691,TGAM01_v203210,0.338011196
GO:0010181,FMN binding,MF,1,40,1/77,40/10045,0.025,0.265380691,TGAM01_v208340,0.338011196
GO:0003677,DNA binding,MF,4,353,4/77,353/10045,0.011331445,0.285731672,TGAM01_v200590;TGAM01_v200747;TGAM01_v206650;TGAM01_v206950,0.360140962
GO:0008168,methyltransferase activity,MF,1,50,1/77,50/10045,0.02,0.320023451,TGAM01_v209791,0.390329955
