GO_ID,Description,Category,Count,Bg_Count,GeneRatio,BgRatio,RichFactor,P_value,Gene_List,FDR
GO:0006078,(1->6)-beta-D-glucan biosynthetic process,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v200732,0.449154031
GO:0003847,1-alkyl-2-acetylglycerophosphocholine esterase activity,MF,1,5,1/1038,5/6466,0.2,0.583234091,TGAM01_v200329,0.709601478
GO:0051537,"2 iron, 2 sulfur cluster binding",MF,2,9,2/1038,9/6466,0.222222222,0.436725192,TGAM01_v206276;TGAM01_v210396,0.622895789
GO:0043138,3'-5' DNA helicase activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v203277,0.528145699
GO:0008296,3'-5'-DNA exonuclease activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v208181,0.449154031
GO:0003854,3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity,MF,1,6,1/1038,6/6466,0.166666667,0.650190137,TGAM01_v209535,0.747127675
GO:0003849,3-deoxy-7-phosphoheptulonate synthase activity,MF,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v203202,0.588877171
GO:0008442,3-hydroxyisobutyrate dehydrogenase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204021,0.449154031
GO:0003860,3-hydroxyisobutyryl-CoA hydrolase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v207057,0.449154031
GO:0004316,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v207546,0.528145699
GO:0004315,3-oxoacyl-[acyl-carrier-protein] synthase activity,MF,3,17,3/1038,17/6466,0.176470588,0.529216931,TGAM01_v204625;TGAM01_v204668;TGAM01_v207546,0.676689802
GO:0051539,"4 iron, 4 sulfur cluster binding",MF,3,16,3/1038,16/6466,0.1875,0.486310407,TGAM01_v206585;TGAM01_v208571;TGAM01_v208754,0.647903765
GO:0004134,4-alpha-glucanotransferase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204119,0.449154031
GO:0043139,5'-3' DNA helicase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v210605,0.449154031
GO:0004534,5'-3' RNA exonuclease activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v210118,0.449154031
GO:0017108,5'-flap endonuclease activity,MF,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v200501,0.588877171
GO:0003871,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,MF,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v200920,0.588877171
GO:0003873,6-phosphofructo-2-kinase activity,MF,2,3,2/1038,3/6466,0.666666667,0.068995127,TGAM01_v200558;TGAM01_v208322,0.449154031
GO:0003872,6-phosphofructokinase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204858,0.449154031
GO:0006370,7-methylguanosine mRNA capping,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v203080,0.528145699
GO:0008312,7S RNA binding,MF,1,5,1/1038,5/6466,0.2,0.583234091,TGAM01_v206475,0.709601478
GO:0140359,ABC-type transporter activity,MF,6,37,6/1038,37/6466,0.162162162,0.558446026,TGAM01_v200417;TGAM01_v204824;TGAM01_v205262;TGAM01_v206278;TGAM01_v207407;TGAM01_v210581,0.705082011
GO:0003987,acetate-CoA ligase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v205363,0.449154031
GO:0045151,acetoin biosynthetic process,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v202659,0.528145699
GO:0047605,acetolactate decarboxylase activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v202659,0.528145699
GO:0003984,acetolactate synthase activity,MF,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v202660,0.588877171
GO:0019427,acetyl-CoA biosynthetic process from acetate,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v205363,0.449154031
GO:0006084,acetyl-CoA metabolic process,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v210705,0.449154031
GO:0003991,acetylglutamate kinase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v210092,0.449154031
GO:0010309,acireductone dioxygenase [iron(II)-requiring] activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v209960,0.449154031
GO:0003994,aconitate hydratase activity,MF,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v208571,0.588877171
GO:0007015,actin filament organization,BP,1,7,1/1038,7/6466,0.142857143,0.706397976,TGAM01_v206149,0.786737274
GO:0016746,acyltransferase activity,MF,9,46,9/1038,46/6466,0.195652174,0.313794199,TGAM01_v204625;TGAM01_v204668;TGAM01_v204898;TGAM01_v206184;TGAM01_v206507;TGAM01_v207546;TGAM01_v208789;TGAM01_v210255;TGAM01_v210705,0.543053323
GO:0046912,"acyltransferase activity, acyl groups converted into alkyl on transfer",MF,1,5,1/1038,5/6466,0.2,0.583234091,TGAM01_v201937,0.709601478
GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF,3,32,3/1038,32/6466,0.09375,0.907113866,TGAM01_v204402;TGAM01_v206507;TGAM01_v208898,0.932666369
GO:0003999,adenine phosphoribosyltransferase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v200137,0.449154031
GO:0006168,adenine salvage,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v200137,0.449154031
GO:0004001,adenosine kinase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v203017,0.449154031
GO:0004014,adenosylmethionine decarboxylase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v206584,0.449154031
GO:0032559,adenyl ribonucleotide binding,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v210999,0.449154031
