,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,25.77,25.77,0.000,,,,0.00000,60.0,
,A02,SYBR,,Unkn,,,29.12,29.12,0.000,,,,0.00000,60.0,
,A03,SYBR,,Unkn,,,29.31,29.31,0.000,,,,0.00000,60.0,
,A04,SYBR,,Unkn,,,27.15,27.15,0.000,,,,0.00000,60.0,
,A05,SYBR,,Unkn,,,26.32,26.32,0.000,,,,0.00000,60.0,
,A06,SYBR,,Unkn,,,26.34,26.34,0.000,,,,0.00000,60.0,
,A07,SYBR,,Unkn,,,25.66,25.66,0.000,,,,0.00000,60.0,
,A08,SYBR,,Unkn,,,26.78,26.78,0.000,,,,0.00000,60.0,
,A09,SYBR,,Unkn,,,25.14,25.14,0.000,,,,0.00000,60.0,
,A10,SYBR,,Unkn,,,27.73,27.73,0.000,,,,0.00000,60.0,
,A11,SYBR,,Unkn,,,21.14,21.14,0.000,,,,0.00000,60.0,
,A12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,SYBR,,Unkn,,,25.63,25.63,0.000,,,,0.00000,60.0,
,B02,SYBR,,Unkn,,,29.89,29.89,0.000,,,,0.00000,60.0,
,B03,SYBR,,Unkn,,,29.20,29.20,0.000,,,,0.00000,60.0,
,B04,SYBR,,Unkn,,,27.21,27.21,0.000,,,,0.00000,60.0,
,B05,SYBR,,Unkn,,,26.37,26.37,0.000,,,,0.00000,60.0,
,B06,SYBR,,Unkn,,,26.41,26.41,0.000,,,,0.00000,60.0,
,B07,SYBR,,Unkn,,,25.81,25.81,0.000,,,,0.00000,60.0,
,B08,SYBR,,Unkn,,,26.74,26.74,0.000,,,,0.00000,60.0,
,B09,SYBR,,Unkn,,,20.41,20.41,0.000,,,,0.00000,60.0,
,B10,SYBR,,Unkn,,,27.72,27.72,0.000,,,,0.00000,60.0,
,B11,SYBR,,Unkn,,,22.93,22.93,0.000,,,,0.00000,60.0,
,B12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
