ipTM	TGAM01_v211078	TGAM01_v201915	TGAM01_v208328	TGAM01_v200001
TGAM01_v211078		0.16	0.48	0.23
TGAM01_v201915	0.16		0.26	0.22
TGAM01_v208328	0.48	0.26		0.79
TGAM01_v200001	0.23	0.22	0.79	
